epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,learning_rate
0,3.014,0.9973345588235294,0.6347777652835075,0.0,0.0,0.0,3.6000000000000003e-06
1,1.1663,0.9973345588235294,0.6347777652835075,2.4467461109161377,0.9140625,0.09466600967676361,1.16e-05
2,0.2923,0.9973345588235294,0.6347777652835075,0.2733346223831177,0.9613636363636363,0.08911829769303697,1.5600000000000003e-05
3,0.1067,0.9973345588235294,0.6347777652835075,0.1262645721435547,0.9613636363636363,0.08911829769303697,1.8363636363636367e-05
4,0.0641,0.9973345588235294,0.6347777652835075,0.04980586841702461,0.9894886363636364,0.34320244365766317,1.6545454545454548e-05
5,0.0386,0.9973345588235294,0.6347777652835075,0.029777126386761665,0.9921875,0.38317556432195093,1.2909090909090912e-05
6,0.0287,0.9973345588235294,0.6347777652835075,0.021999690681695938,0.9940340909090909,0.4862687485423205,9.272727272727273e-06
7,0.0257,0.9973345588235294,0.6347777652835075,0.016032405197620392,0.9967329545454545,0.5831014309807314,7.454545454545456e-06
8,0.0201,0.9973345588235294,0.6347777652835075,0.013163327239453793,0.9973011363636364,0.6034685219085417,3.818181818181819e-06
9,0.0191,0.9973345588235294,0.6347777652835075,0.011743123643100262,0.9974431818181818,0.6436821721493927,2.0000000000000003e-06
10,0.0177,0.9973345588235294,0.6347777652835075,0.011560884304344654,0.9975852272727272,0.6653339014596363,1.8181818181818183e-07
