epoch,train_loss,val_loss,accuracy,f1_score,precision,recall
1,1.2299666666666667,1.6673715114593506,0.5852090032154341,0.5067699396205159,0.5543380426872329,0.5852090032154341
2,0.6252357142857142,0.8590516448020935,0.8118971061093248,0.7986052039497203,0.8133758619146481,0.8118971061093248
3,0.4017,0.5973058938980103,0.8488745980707395,0.8445811764057419,0.8575805547150318,0.8488745980707395
4,0.27724999999999994,0.5001396536827087,0.8697749196141479,0.8666092580097284,0.8726279767103857,0.8697749196141479
5,0.2441,0.48117199540138245,0.8735262593783494,0.870315664083353,0.8749792415205512,0.8735262593783494
