entity,precision,recall,f1_score,support
ATTRIBUTE,0.7895,0.8824,0.8333,17
BUDGET,1.0000,1.0000,1.0000,13
COLLEGE_NAME,0.9884,0.9884,0.9884,86
COLLEGE_NAME_1,1.0000,1.0000,1.0000,12
COLLEGE_NAME_2,1.0000,1.0000,1.0000,12
COLLEGE_TYPE,0.9259,1.0000,0.9615,25
COURSE,0.9892,1.0000,0.9946,92
LOCATION,1.0000,1.0000,1.0000,50
RANK,0.9286,0.9286,0.9286,14
