entity,precision,recall,f1_score,support
ATTRIBUTE,0.8571,0.6000,0.7059,10
COLLEGE_NAME,0.9841,0.9841,0.9841,63
COLLEGE_NAME_1,1.0000,1.0000,1.0000,10
COLLEGE_NAME_2,1.0000,1.0000,1.0000,10
COLLEGE_TYPE,1.0000,1.0000,1.0000,39
COURSE,0.9756,0.9877,0.9816,81
HOSTEL,1.0000,1.0000,1.0000,2
LOCATION,1.0000,1.0000,1.0000,24
RANK,1.0000,1.0000,1.0000,4
