epoch,train_loss,val_loss,precision,recall,f1_score,accuracy
1,0.2899555555555555,0.41341063380241394,0.5727699530516432,0.5374449339207048,0.5545454545454546,0.9008120649651972
2,0.0898111111111111,0.08672473579645157,0.8717948717948718,0.8986784140969163,0.8850325379609546,0.978538283062645
3,0.043077777777777784,0.030060861259698868,0.9473684210526315,0.9515418502202643,0.9494505494505494,0.9918793503480279
4,0.0294375,0.02795235998928547,0.9565217391304348,0.9691629955947136,0.962800875273523,0.9924593967517401
5,0.020900000000000002,0.03335366025567055,0.9475982532751092,0.9559471365638766,0.9517543859649122,0.9912993039443155
6,0.015211111111111111,0.026595551520586014,0.9691629955947136,0.9691629955947136,0.9691629955947137,0.9936194895591647
7,0.016422222222222217,0.030092880129814148,0.9567099567099567,0.973568281938326,0.9650655021834061,0.9930394431554525
8,0.012122222222222222,0.026399917900562286,0.9568965517241379,0.9779735682819384,0.9673202614379085,0.9912993039443155
9,0.008799999999999999,0.02699221484363079,0.9692982456140351,0.973568281938326,0.9714285714285714,0.994199535962877
10,0.008077777777777776,0.025585610419511795,0.9691629955947136,0.9691629955947136,0.9691629955947137,0.9936194895591647
11,0.0068000000000000005,0.027096660807728767,0.9691629955947136,0.9691629955947136,0.9691629955947137,0.9936194895591647
12,N/A,0.032137490808963776,0.983402489626556,0.9753086419753086,0.9793388429752067,0.9942824471126358
