epoch,train_loss,train_accuracy,train_f1,val_loss,val_accuracy,val_f1,learning_rate
0,3.0168,0.9102564102564102,0.8309092578125773,0.0,0.0,0.0,1.9600000000000002e-05
1,2.5307,0.9102564102564102,0.8309092578125773,2.916032075881958,0.15675675675675677,0.05686369046482468,1.8e-05
2,1.8363,0.9102564102564102,0.8309092578125773,2.375082492828369,0.41081081081081083,0.20496491762164026,1.5551020408163265e-05
3,1.3411,0.9102564102564102,0.8309092578125773,1.8225041627883911,0.6108108108108108,0.393724053532136,1.3510204081632654e-05
4,1.1085,0.9102564102564102,0.8309092578125773,1.4426506757736206,0.6810810810810811,0.4684103092242627,1.146938775510204e-05
5,0.8346,0.9102564102564102,0.8309092578125773,1.2098400592803955,0.6972972972972973,0.49127809032777636,9.020408163265307e-06
6,0.647,0.9102564102564102,0.8309092578125773,1.1115734577178955,0.7243243243243244,0.5247376276859812,6.979591836734695e-06
7,0.6313,0.9102564102564102,0.8309092578125773,1.019140362739563,0.7297297297297297,0.5381105944043785,4.530612244897959e-06
8,0.6626,0.9102564102564102,0.8309092578125773,0.9840806126594543,0.745945945945946,0.5825995218016926,2.489795918367347e-06
9,0.5548,0.9102564102564102,0.8309092578125773,0.9708631634712219,0.745945945945946,0.609671426834776,4.489795918367347e-07
10,0.5373,0.9102564102564102,0.8309092578125773,0.967755138874054,0.7405405405405405,0.5798212467010421,4.0816326530612253e-08
