epoch,train_loss,val_loss,precision,recall,f1_score,accuracy
1,0.29304374999999994,0.42457884550094604,0.5764075067024129,0.44238683127572015,0.50058207217695,0.9056933286762138
2,0.13007333333333332,0.17067791521549225,0.7609942638623327,0.8189300411522634,0.7888999008919723,0.9600069856793573
3,0.07878125,0.10450560599565506,0.847953216374269,0.8950617283950617,0.8708708708708708,0.9739783443939923
4,0.05175333333333333,0.09802509844303131,0.8987854251012146,0.9135802469135802,0.9061224489795919,0.9778204680405169
5,0.035431250000000004,0.07128474116325378,0.900990099009901,0.9362139917695473,0.9182643794147327,0.9825358016067063
6,0.02798,0.06628155708312988,0.9325153374233128,0.9382716049382716,0.9353846153846154,0.9855047153335662
7,0.020437499999999997,0.07885958254337311,0.9481327800829875,0.9403292181069959,0.9442148760330579,0.985853999301432
8,0.018373333333333335,0.08441317826509476,0.9291497975708503,0.9444444444444444,0.936734693877551,0.9842822214460356
9,0.01315625,0.08373071253299713,0.9350912778904665,0.948559670781893,0.9417773237997956,0.9851554313657003
10,N/A,0.13268062472343445,0.9244935543278084,0.9194139194139194,0.9219467401285583,0.9793869869152177
